"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"510","4028","Global","Fruits","BERRIES","Strawberries"," Pint ","","","","Fragaria ananassa","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"511","4029","Global","Fruits","PINEAPPLE","","Small","12 size and smaller","","Sizes for pineapple based on 5-7 count = large size; 8-10 count = small size","Ananas comosus","","Approved","","","Webmaster2015","2025-05-27 14:26:23","1999-12-30 23:00:00","","EN"
"512","4030","Global","Fruits","KIWIFRUIT","Regular","  All Sizes  ","","","","Actinidia deliciosa","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","2004-06-29 22:00:00","","EN"
"513","4031","Global","Fruits","MELON","Watermelon - Red   "," All Sizes ","","","","Citrullus lanatus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"514","4032","Global","Fruits","MELON","Watermelon - Red, Seedless","All Sizes","","","","Citrullus lanatus","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"515","4033","Global","Fruits","LEMONS","","Small","200 size and smaller","Average Fruit Dimensions = less than 54mm","","Citrus limon","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"516","4034","Global","Fruits","MELON","Honeydew/White Honeydew","Large","5 size and larger","Average Fruit Weight =  2040g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"517","4035","Global","Fruits","NECTARINE","Yellow Flesh","Small","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"518","4036","Global","Fruits","NECTARINE","Yellow Flesh","Large","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"519","4037","Global","Fruits","PEACHES","Yellow Flesh"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"520","4038","Global","Fruits","PEACHES","Yellow Flesh"," Large ","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"521","4039","Global","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"522","4040","Global","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"523","4041","Global","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"524","4042","Global","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"525","4043","Global","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
"526","4044","Global","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Large ","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN"
